50,42,74,183
60,41,77,1663
70,45,93,7057
80,51,94,5041
90,46,121,10716
100,56,112,11385
110,41,5416,17483
120,44,305,11184
130,59,153,11965
140,54,283,10753
150,58,6522,13357
160,53,1196,11034
170,49,118,9200
180,43,3682,15765
190,38,1322,13611
200,34,152,16800
210,54,265,9644
220,34,84,10630
230,47,132,8747
240,52,1626,9895
250,53,111,6569
260,40,1892,15529
270,66,7608,14777
280,36,154,14304
290,42,117,19636
300,42,2210,8195
310,45,4300,10658
320,49,110,7528
330,68,7392,19407
340,50,138,8269
350,53,157,10155
360,53,4051,9120
370,47,2854,9125
380,41,2241,15224
390,60,4458,9390
400,42,1728,15548
410,37,175,15566
420,44,6528,21666
430,41,111,12594
440,36,3043,15935
450,49,4252,9633
460,47,5051,12538
470,46,1727,9875
480,50,7841,19142
490,57,4921,10411
500,43,8634,21222
