10,40,120,209718,18,64562.32,19093.25,411927
110,7900,20600,235000,21,104166.37,31625.64,1668332
210,6480,19333,230000,30,71253.80,26225.38,818275
310,4930,25000,225000,30,92756.70,28031.48,1700884
400,3878,20000,421666,34,78366.40,26505.69,843437
500,4300,211600,423333,35,97566.25,39753.89,855910
600,4580,204615,422857,48,78403.99,31012.16,433915
700,4241,201538,223333,37,70754.49,27754.34,432402
800,4025,202727,230000,29,95426.60,31344.13,1439927
900,3678,14000,220000,31,67178.67,23317.27,628282
1000,4553,34000,415000,37,74560.97,28821.07,440029
